10/03/2017,58 Kristen Lane,Midway,GA,31320,Homeowner,Liberty 
10/03/2017,245 Honda Ct,Stockbridge,GA,30281,Homeowner,Henry 
10/03/2017,5320 Westford Cir,Atlanta,GA,30349,Homeowner,Fulton 
10/03/2017,219 Foxdale Drive,Evans,GA,30809,Homeowner,Columbia 
10/03/2017,6172 Hemperly Road,Atlanta,GA,30349,Homeowner,Fulton 
10/03/2017,7805 Wilkinson Drive,Gainesville,GA,30506,Homeowner,Forsyth 
10/03/2017,49 Highlander Way,Acworth,GA,30101,Homeowner,Paulding 
10/03/2017,4020 Bradstone Trace Nw,Lilburn,GA,30047,Homeowner,Gwinnett 
10/03/2017,4001 Lucas Lane,Ellenwood,GA,30294,Homeowner,DeKalb 
10/03/2017,996 Glendale Drive,East Point,GA,30344,Homeowner,Fulton 
10/03/2017,8240 Creekridge Cir,Riverdale,GA,30296,Homeowner,Clayton 
10/03/2017,901 Shadow Lakes Drive,Lithonia,GA,30058,Homeowner,DeKalb 
10/03/2017,404 Jane Court,Temple,GA,30179,Homeowner,Carroll 
10/03/2017,1780 Harbin Road,Atlanta,GA,30311,Homeowner,Fulton 
10/03/2017,300 Chuckwagon Road,Demorest,GA,30535,Homeowner,Habersham 
10/03/2017,9669 Adams Park Road,Dry Branch,GA,31020,Homeowner,Twiggs 
10/03/2017,9109 Bowens Mill Road,Broxton,GA,31519,Homeowner,Coffee 
10/03/2017,630 Olde Mill Place,Temple,GA,30179,Homeowner,Carroll 
10/03/2017,108 Pepperidge Lane,Athens,GA,30607,Homeowner,Clarke 
10/03/2017,781 Greenview Avenue Se,Conyers,GA,30094,Homeowner,Rockdale 
10/03/2017,4042 Laurel Bend Court,Snellville,GA,30039,Homeowner,Gwinnett 
10/03/2017,109 Southern Trail,Moultrie,GA,31788,Homeowner,Colquitt 
10/03/2017,455 Sandstone Drive,Athens,GA,30605,Homeowner,Clarke 
10/03/2017,1050 Hawthorne Way,Marietta,GA,30062,Homeowner,Cobb 
10/03/2017,1317 Sandy Brook Court,Lithonia,GA,30058,Homeowner,DeKalb 
10/03/2017,1744 Elizabeth Drive,Thomson,GA,30824,Homeowner,McDuffie 
10/03/2017,7062 Green Valley Lane,Riverdale,GA,30274,Homeowner,Clayton 
10/03/2017,3180 Elmendorf Drive,Kennesaw,GA,30144,Homeowner,Cobb 
10/03/2017,1802 Quincy St,Savannah,GA,31405,Homeowner,Chatham 
10/03/2017,1920 Brandy Woods Trail Se,Conyers,GA,30013,Homeowner,Rockdale 
10/03/2017,1707 Fresno Dr,Valdosta,GA,31602,Homeowner,Lowndes 
10/03/2017,6015 Fairlong Ct Nw,Acworth,GA,30101,Homeowner,Cobb 
10/03/2017,177 Scenic Dr,Mcdonough,GA,30252,Homeowner,Henry 
10/03/2017,5013 Registry Court,Kennesaw,GA,30152,Homeowner,Cobb 
10/03/2017,5494 Woodsong Trace,Stone Mountain,GA,30087,Homeowner,DeKalb 
10/03/2017,4112 Stutz Court,Tucker,GA,30084,Homeowner,DeKalb 
10/03/2017,483 N Green Cir,Mcdonough,GA,30252,Homeowner,Henry 
10/03/2017,2413 Brianna Drive,Hampton,GA,30228,Homeowner,Clayton 
10/03/2017,6585 Hidden Brook Trail,College Park,GA,30349,Homeowner,Fulton 
10/03/2017,143 Timberland Trail,Newnan,GA,30263,Homeowner,Coweta 
10/03/2017,921 Dunagan Way,Lawrenceville,GA,30045,Homeowner,Gwinnett 
10/03/2017,474 Peyton Road Sw,Atlanta,GA,30311,Homeowner,Fulton 
10/03/2017,101 Cresent Woode Drive,Dallas,GA,30157,Homeowner,Paulding 
10/03/2017,35 Cherub Lane,Sharpsburg,GA,30277,Homeowner,Coweta 
10/03/2017,5309 Paddington Ln,Powder Springs,GA,30127,Homeowner,Cobb 
10/03/2017,54 Darby's Avenue,Hiram,GA,30141,Homeowner,Paulding 
10/03/2017,573 Ironstone Drive,Fairburn,GA,30213,Homeowner,Fulton 
10/03/2017,5309 Paddington Ln,Powder Springs,GA,30127,Homeowner,Cobb 
10/03/2017,54 Darby's Avenue,Hiram,GA,30141,Homeowner,Paulding 
10/03/2017,2137 Oakland Walk Drive,Lawrenceville,GA,30044,Homeowner,Gwinnett 
